n,rep,alpha,lambda,theta
30,175,3.8900870380687786,3.70002379332979,3.702717359073885
30,176,2.497545557076694,2.778794601400081,2.6487329962951285
30,177,2.0713900106332575,2.4174616193958363,2.263155660627102
30,178,3.892617648516912,3.9834398753346814,4.0212249786288305
30,179,2.1583662629109153,2.5480536357243624,2.379842832717804
30,180,2.238759240514194,2.854686739189906,2.688889392649568
30,181,2.1335332451226,2.7574275972998015,2.5673226659835335
30,182,1.4267662678784974,2.5544901301494414,2.18792603355877
30,183,1.6610644103152177,2.0829912263722243,1.8849385218995072
30,184,3.1728508667945885,3.618829101701283,3.6239928040165243
30,185,1.8572515820812376,2.406879831437394,2.1488003987904487
30,186,3.2805792760914305,3.674763504798886,3.7163609515624554
30,187,1.499170835430664,2.201316702049895,1.9664364615353376
30,188,2.287358813223715,2.612689627426323,2.4794337010199934
30,189,2.2571574847153926,2.85088903186308,2.666515648485054
30,190,2.3825743955340126,3.1403177368713573,2.868352147214645
30,191,2.93771436171886,3.5038585355604956,3.364490541773585
30,192,4.204100353292392,4.099321713738537,4.1461023317473344
30,193,3.490799454385597,3.300524568380068,3.315817111840029
30,194,2.792848628900511,2.6295143919570405,2.553361582672886
30,195,1.760332996487986,2.370933860871517,2.145066400923132
30,196,1.7817727785286814,2.6175226605033974,2.2933662773979915
30,197,2.336505885437582,2.808146168138184,2.652889054789022
30,198,1.6034046806006947,2.221016623584555,2.0277125868838004
30,199,3.5620770834759434,3.605786589131514,3.570041375936337
50,0,1.921434922828312,2.8445672259294423,2.5437424191824247
50,1,1.4323781358168626,2.1769587284928944,1.8754455619688943
50,2,1.615467445026199,2.393353148098295,2.1715282141828744
50,3,2.40216740253774,2.885041978436536,2.78863179292469
50,4,1.8655597117371248,2.2721918287900627,2.1111085124582036
50,5,2.1490268570582933,2.961822685214653,2.6941207535115645
50,6,3.7522889805082764,3.161819473328986,3.1396986381121423
50,7,3.1765878935695673,2.9638038629666923,2.8845461890696917
50,8,1.9311901527531081,2.5964057106062612,2.4160609885161213
50,9,3.105452566005899,3.381340704660865,3.3235393312609247
50,10,1.9489496765066558,2.5999585651908443,2.352183644199571
50,11,3.0474332301251623,3.258545222529923,3.187659703403548
50,12,1.2471825615556849,2.216676231272754,1.8341973238131206
50,13,3.7195228971276584,3.3601519306890593,3.3356430728514375
50,14,1.9634908384681287,2.5817497318480704,2.4089991151933585
50,15,3.063256109872288,3.079941411240935,3.05271610193466
50,16,2.616234885080175,3.0063300352114246,2.870199291216912
50,17,1.696796292656223,2.252438358119492,2.0392446016219794
50,18,6.760812227207937,4.398188977179544,4.470378084803745
50,19,2.480861403574411,3.055434081517249,2.9245733852514615
50,20,1.5191008919496893,2.7359093473217384,2.3965498646775827
50,21,2.2606462900705164,2.6957868675297405,2.546570762999121
50,22,2.4649826433454525,2.802695763982542,2.6902347417932626
50,23,2.8296247187951846,3.2223064022835866,3.1453007566122153
50,24,2.1046539846181846,2.6044298515591318,2.45115209457165
50,25,2.4241857829164792,3.168619164193965,2.983793339277099
50,26,2.2689844996325728,2.4788643711175746,2.3547609077790677
50,27,2.0596258598285675,2.6867214909140014,2.4396364089349207
50,28,2.0638040694393682,2.669722291694808,2.4783270138227445
50,29,2.078484879459179,2.931656437739386,2.738470525725342
50,30,1.7901046499753228,2.483569470452741,2.2545111304566046
50,31,2.657654435294959,3.4399680169059272,3.283843456234987
50,32,2.5951227713253053,3.4900441687109014,3.3540329376003553
50,33,2.9893972092350114,3.211314384560387,3.1147977306052623
50,34,2.6037807390778958,2.5594953113138432,2.4986489403884122
50,35,2.330548873220462,2.850866750919858,2.6939532575576943
50,36,2.4506316286571774,2.5871481282589697,2.4645649928591196
50,37,1.664714252590222,2.3785069696828884,2.1122310421961297
50,38,2.657255944920872,2.960296183658627,2.8388827142154573
50,39,2.8166705771533533,3.4870067498598725,3.317688395839928
50,40,2.5804266107405933,3.5705412359747086,3.5271933721089654
50,41,2.337888909139846,2.905596570292275,2.695313970059811
50,42,2.6589934668624955,2.705928948050989,2.617775131349957
50,43,3.603425053575924,3.1992356748204513,3.166089586634115
50,44,2.373516388727593,2.8043438751883225,2.6045475968234735
50,45,2.418381371900827,2.958352354701206,2.8451582666112256
50,46,2.027337288397486,2.5969678683986794,2.398582742366441
50,47,3.348803907886799,3.0662397462414996,3.0214759251628696
50,48,2.9266570920640267,3.638884896254574,3.5569064504140853
50,49,2.5501246990798307,3.3324727485214374,3.1884849175593244
50,50,2.287576514215153,2.8620009067963768,2.6864028584247692
