alpha,lambda,theta
10.0,1.931688506026844,8.75949076299929
10.0,2.7168672604070565,10.0
10.0,4.219459728229137,10.0
10.0,3.369585746010863,10.0
10.0,3.3415102784291517,10.0
10.0,8.904933286969877,10.0
10.0,2.708347239938305,10.0
10.0,2.863563563399487,10.0
10.0,2.1618442072352693,9.778050238821242
10.0,1.8823677837303585,8.533893727961152
10.0,10.0,10.0
10.0,4.00999111836334,10.0
10.0,10.0,10.0
10.0,3.0568785403350103,10.0
10.0,2.828043111860696,10.0
10.0,1.472918096465955,7.105357608767944
10.0,2.2150209424887914,9.531144328854545
10.0,1.1727412872820435,6.301486657811322
10.0,2.741489975438424,10.0
10.0,2.753126981122119,10.0
10.0,2.6249889123021055,10.0
10.0,6.125026996300613,10.0
10.0,2.818983477297361,10.0
10.0,2.7623250501552437,10.0
10.0,3.0752811304342225,10.0
10.0,6.917876657725703,10.0
10.0,2.2083639474663057,10.0
10.0,2.243808263865523,9.71333741105496
10.0,2.083578504778658,8.258154868996058
10.0,2.6955465836777166,10.0
10.0,6.437229846412254,10.0
10.0,1.557143171837368,7.186081683053734
10.0,5.20863408717661,10.0
10.0,5.523300227500645,10.0
10.0,3.3479274381973956,10.0
10.0,2.808524792572502,10.0
10.0,1.9781944016047521,8.626564271536296
10.0,7.488476031503412,10.0
10.0,1.5355053778564374,7.552726964194277
10.0,2.3896188588676934,8.591361967658507
10.0,3.5384347414667436,10.0
10.0,3.093176996873278,10.0
10.0,2.024277308251969,9.438785141358247
10.0,3.707455895359927,10.0
10.0,1.9909358799056627,9.147093060069107
10.0,3.0180362954428968,10.0
10.0,3.496472843076119,10.0
10.0,2.636252772813338,10.0
10.0,7.063016995177891,10.0
10.0,2.9021024068272685,10.0
10.0,1.8248937887628083,8.171972797866188
10.0,3.192926192351662,10.0
10.0,3.5376027944417454,10.0
10.0,1.9035174304664733,8.58170961696536
10.0,2.5097930938451207,10.0
10.0,3.0147579911157583,10.0
10.0,3.457099671163765,10.0
10.0,1.4603164858306827,7.010223004985022
9.458696607024836,1.329728007531713,6.238587982812448
10.0,2.086061295172679,8.989319492552113
10.0,4.7164488591521945,10.0
10.0,3.6151972150735423,10.0
10.0,2.4967020483375957,9.919234371792887
10.0,3.3034871113578443,10.0
10.0,4.2028282537766195,10.0
10.0,1.6917476171671813,7.960512029069493
10.0,3.149315806550994,10.0
10.0,5.254467147913212,10.0
10.0,1.7539056298940519,8.198106492645422
10.0,4.224398075692792,10.0
10.0,2.5313411532111236,9.90089843552765
10.0,3.583045059934519,10.0
10.0,2.4517246077061547,10.0
10.0,2.5987931881391426,10.0
10.0,3.1592212677496216,10.0
10.0,2.779660892675442,10.0
9.451915273674587,1.2857524101085747,6.299179051630865
10.0,4.727602640400379,10.0
10.0,2.132983721065976,9.834053273390063
9.117434465075023,1.0436718579989674,5.859137819925848
10.0,1.7107692316168763,7.622211977987744
10.0,1.8803395772273208,7.6908741414580994
10.0,1.8486254272019182,8.998553748275317
10.0,3.9963880890246584,10.0
10.0,3.4291356672657924,10.0
10.0,1.9670544074627767,8.656620727862453
