alpha,lambda,theta
8.922337291550402,1.3168247853725124,6.201050148826172
9.239170233828188,1.8839722153377392,6.957761697010707
10.0,1.8897502892739435,8.352423612660328
10.0,1.539162690655372,7.433585152675184
10.0,2.502422145400506,10.0
10.0,2.762649982164279,10.0
10.0,1.5806933766829936,7.334141603453078
10.0,1.6941570449181809,8.03983296226986
10.0,1.5453232025344328,6.831229388887142
8.088770165709684,1.159808530840134,5.79508930793983
10.0,2.592214044925405,10.0
10.0,1.892657296284764,8.269166800248357
10.0,2.1224105784503546,9.012731093050174
10.0,2.704140955834083,10.0
10.0,2.2529038946658817,9.250332091851062
8.103188621097255,1.3347672744206283,5.942961515989081
10.0,1.7126550708095603,8.354316746744102
10.0,2.1405942283195105,9.155881846212372
10.0,2.0900078248698537,9.654966845829666
10.0,3.1146734640235474,10.0
6.847608007385124,1.2712161967908566,5.447633261539666
9.667469260717974,1.657621727379697,6.813218655517022
10.0,1.8366655981414408,7.699422880418742
10.0,1.41926428975878,6.986789366888173
10.0,1.815588360382192,8.327607749425455
10.0,1.5591151967825692,8.39709942156738
10.0,3.2828407066771783,10.0
10.0,1.6015345520939452,7.305175102664188
10.0,2.3435966391474805,8.903931676293231
10.0,1.7728527422736957,8.391450008529
9.431986311049515,1.28908767314848,6.416176674589502
6.813740649700362,0.971418508113984,5.139565336965254
6.290093558491944,1.0818423866801494,5.067073281084974
9.234752723116513,1.4932535510696678,6.536588979763096
10.0,1.9610658781942343,7.973405393258693
10.0,2.080929455974312,9.112824515162462
7.609647395090647,1.357753902643394,5.6870851043046935
10.0,1.5047698254133772,7.519765813775339
10.0,1.706323856773503,7.072061899402705
10.0,2.1728051659390877,9.538913284904616
10.0,1.7771270958136673,8.782814613557848
10.0,1.3349105477880905,7.1682873365693105
10.0,2.045328673512071,9.144835864569602
10.0,2.3611416078052385,8.24768023651272
10.0,1.4730334606336726,6.78991807066718
10.0,2.1756470677159583,8.833408947563488
10.0,2.9126921742517236,10.0
10.0,1.6573145726985323,7.104814528690489
10.0,1.953473215817856,9.352411302927225
10.0,2.121387257532834,9.118396857742523
10.0,1.4575267405210819,7.728708042862948
10.0,1.1921120633491664,6.668661859254207
10.0,2.8763962078364624,10.0
8.529457361779142,1.0951890272582572,5.947662014088701
10.0,2.2494289437489337,9.407509579920056
9.060298901716518,1.2917802361841313,6.298351429364584
10.0,2.2049196291140785,10.0
9.484296416980472,1.0383376890715907,6.069757732284375
10.0,2.2300061446145443,9.686251503753585
8.69690977357825,1.380043814743549,6.260585371943676
9.391926510779845,1.5660357899991435,6.637675232996558
10.0,2.857386573900131,10.0
5.475955454675521,0.9507823562097117,4.580804987681518
10.0,1.6310717499795182,8.377688808458954
10.0,1.7103199751067115,7.451823929739608
10.0,1.6231278290611821,7.862773274810997
10.0,1.8373784320424233,8.092215503081357
10.0,1.2097035571977799,6.601225381538243
10.0,1.4595384480414204,7.87624753020497
10.0,3.131319919044444,10.0
9.877914679144803,1.7261484248826566,6.917578002776852
10.0,2.4769141450390575,9.846869936175253
10.0,2.0725794453598385,10.0
10.0,2.1912728204451573,9.337795620735653
7.600497096627994,1.33321132144939,5.714059295703526
10.0,1.6615262165195945,7.22003391864682
10.0,1.6441640963227124,8.449467776016087
10.0,1.5619073957842924,7.080349390623265
10.0,3.2402944415511996,10.0
8.93277196039002,1.509413978980885,6.562839044635179
8.192258905813619,1.1258039313622579,5.815133384767885
10.0,1.4685073874765915,7.105979308160436
9.360698362790723,1.6319259471176784,6.5073729703449485
7.603406563304236,1.112149907221206,5.535636694910264
10.0,2.6192941112523624,10.0
10.0,1.74377315863846,8.546507408078691
10.0,2.203010956363115,8.571658688520948
10.0,3.7235173832116746,10.0
10.0,2.490971429706539,10.0
10.0,2.6391450890620756,9.821974633535737
